epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,1981.24,0.62241,0.41284,0.85134,0.65107,0.75877,0.72514,0.4903,1.00753,0.96675,0.94539,0.000594541,0.000594541,0.000594541
171,1992.89,0.60792,0.41257,0.84327,0.65173,0.78989,0.75206,0.50948,1.02823,0.96105,0.94689,0.000593834,0.000593834,0.000593834
172,2004.31,0.60802,0.40486,0.84519,0.63303,0.81654,0.71254,0.46746,1.00776,0.97833,0.93569,0.000593127,0.000593127,0.000593127
173,2015.94,0.60381,0.39878,0.84337,0.65547,0.76285,0.71324,0.47576,1.04146,0.98176,0.94074,0.00059242,0.00059242,0.00059242
174,2027.75,0.61529,0.41087,0.84538,0.59136,0.81639,0.70696,0.48184,1.02772,1.01384,0.94767,0.000591713,0.000591713,0.000591713
175,2039.22,0.60787,0.40085,0.83989,0.59914,0.74308,0.68201,0.45934,1.0266,1.05927,0.93302,0.000591006,0.000591006,0.000591006
176,2050.96,0.59272,0.40918,0.84599,0.68111,0.74711,0.7214,0.48162,1.01167,0.99993,0.94614,0.0005903,0.0005903,0.0005903
177,2062.59,0.5974,0.39902,0.83867,0.63615,0.78027,0.71694,0.47616,1.02035,0.97898,0.94424,0.000589593,0.000589593,0.000589593
178,2073.96,0.59528,0.39362,0.84062,0.67093,0.74001,0.71023,0.46839,1.00711,1.03318,0.93749,0.000588886,0.000588886,0.000588886
179,2085.16,0.59658,0.39822,0.84021,0.65765,0.77037,0.71169,0.47037,1.01544,0.97904,0.92911,0.000588179,0.000588179,0.000588179
180,2096.74,0.59937,0.40372,0.83834,0.63047,0.81421,0.7205,0.48734,1.04212,0.9647,0.94102,0.000587472,0.000587472,0.000587472
